datetime,dev,type,label,cnlabel,probability
2023-01-04 15:19:35,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,zebra,斑马,0.96
2023-01-04 15:19:52,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,giraffe,长颈鹿,0.95
2023-01-04 15:20:00,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,person,人,0.92
2023-01-04 15:20:00,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,skis,雪橘,0.91
2023-01-04 15:20:13,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,bus,公共汽车,0.98
2023-01-04 15:20:23,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,person,人,0.95
2023-01-04 15:20:23,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,sports ball,运动球,0.85
2023-01-04 15:20:23,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,baseball bat,棒球棒,0.84
2023-01-04 15:20:23,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,baseball glove,棒球手套,0.9
2023-01-04 15:20:36,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,motorcycle,摩托车,0.93
2023-01-04 15:20:46,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,umbrella,雨伞,0.51
2023-01-04 15:20:49,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,dog,狗,0.95
2023-01-04 15:20:49,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,bed,床,0.9
2023-01-04 15:20:49,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,tv,电视,0.88
2023-01-04 15:20:58,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,person,人,0.97
2023-01-04 15:20:58,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,sports ball,运动球,0.81
2023-01-04 15:20:58,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,tennis racket,网球拍,0.89
2023-01-04 15:21:08,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,elephant,大象,0.95
2023-01-04 15:21:16,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,chair,椅子,0.53
2023-01-04 15:21:16,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,couch,沙发,0.93
2023-01-04 15:21:17,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,potted plant,盆栽植物,0.56
2023-01-04 15:21:17,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,vase,花瓶,0.53
2023-01-04 15:21:26,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,tv,电视,0.86
2023-01-04 15:21:27,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,keyboard,键盘,0.89
2023-01-04 15:21:33,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,elephant,大象,0.98
2023-01-04 15:21:41,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,cat,猫,0.8
2023-01-04 15:21:41,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,dog,狗,0.97
2023-01-04 15:21:41,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,couch,沙发,0.97
2023-01-04 15:21:49,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,bird,鸟,0.95
2023-01-04 15:21:56,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,horse,马,0.96
2023-01-04 15:22:05,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,dog,狗,0.98
2023-01-04 15:22:13,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,cow,牛,0.95
2023-01-04 15:22:19,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,airplane,飞机,0.94
2023-01-04 15:22:27,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,person,人,0.75
2023-01-04 15:22:28,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,bench,长凳,0.91
2023-01-04 15:22:35,D:/MyPython/paddle/Teaching/VisionDeploy/img/mini.mp4,det-model,kite,风筝,0.86
